STA_Lon_X,STA_Lat_Y,PGA
120.77754,22.65546,0.02387375
120.77811,22.74539,0.025829
120.77869,22.83532,0.03218235
120.77927,22.92526,0.03693395
120.77986,23.01519,0.0393917
120.78045,23.10512,0.04917095
120.78104,23.19505,0.05751785
120.78163,23.28498,0.07206615
120.78223,23.37492,0.1028
120.78283,23.46485,0.140017
120.78343,23.55478,0.2321235
120.78404,23.64471,0.5957065
120.78464,23.73464,0.5102065
120.78526,23.82458,0.4787815
120.78587,23.91451,0.550691
120.78649,24.00444,0.4489495
120.78711,24.09437,0.5755645
120.78773,24.18431,0.457052
120.78836,24.27424,0.5134375
120.78899,24.36417,0.329175
120.78962,24.4541,0.169508
120.79026,24.54403,0.119748
120.7909,24.63397,0.1085095
120.79154,24.7239,0.09438515
120.79219,24.81383,0.07009995
120.79284,24.90376,0.05862235
120.79349,24.99369,0.05649265
120.79414,25.08363,0.04714085
120.7948,25.17356,0.04160025
120.79546,25.26349,0.0361854
120.79613,25.35342,0.0285776
120.86816,21.6662,0.0137738
120.86876,21.75614,0.016089
120.86937,21.84607,0.0180389
120.86998,21.936,0.0131264
120.8706,22.02593,0.0145213
120.87122,22.11587,0.01539725
120.87184,22.2058,0.01362985
120.87246,22.29573,0.0171018
120.87309,22.38566,0.02159945
120.87372,22.47559,0.02131325
120.87435,22.56553,0.0251874
120.87499,22.65546,0.0253996
120.87563,22.74539,0.03058695
120.87627,22.83532,0.0301086
120.87692,22.92526,0.03426785
120.87757,23.01519,0.03960985
120.87822,23.10512,0.04297565
120.87888,23.19505,0.0488136
120.87954,23.28498,0.0727951
120.8802,23.37492,0.0912917
120.88087,23.46485,0.1777515
120.88154,23.55478,0.2999055
120.88221,23.64471,0.3875565
120.88289,23.73464,0.435673
120.88357,23.82458,0.426605
120.88425,23.91451,0.352678
120.88493,24.00444,0.366819
120.88562,24.09437,0.410226
120.88632,24.18431,0.3701435
120.88701,24.27424,0.477779
120.88771,24.36417,0.311329
120.88842,24.4541,0.1729885
120.88913,24.54403,0.0979075
120.88984,24.63397,0.08976995
120.89055,24.7239,0.06572795
120.89127,24.81383,0.05759135
120.89199,24.90376,0.0569001
120.89271,24.99369,0.0467621
120.89344,25.08363,0.042353
120.89417,25.17356,0.0380196
120.89491,25.26349,0.03460735
120.89564,25.35342,0.02826645
120.96493,21.6662,0.01382385
120.96559,21.75614,0.0159887
120.96626,21.84607,0.0166928
120.96693,21.936,0.01421055
120.96761,22.02593,0.01407505
120.96829,22.11587,0.0118032
120.96897,22.2058,0.0139708
120.96966,22.29573,0.01639805
120.97035,22.38566,0.021719
120.97104,22.47559,0.0244183
120.97174,22.56553,0.02238705
120.97244,22.65546,0.0265126
120.97314,22.74539,0.0268458
120.97385,22.83532,0.032991
120.97456,22.92526,0.0352949
120.97528,23.01519,0.03940765
120.976,23.10512,0.0413084
120.97672,23.19505,0.045599
120.97744,23.28498,0.06358875
120.97817,23.37492,0.09358775
120.97891,23.46485,0.1576355
120.97964,23.55478,0.266478
